統計項目,數值
數據集總行數,47160
數據集總列數,28
目標變數-逝世(1)人數,4682
目標變數-存活(0)人數,42478
目標變數-逝世比例(%),9.93
缺失值-AdmitDiagnosis,0
缺失值-marital_status,0
缺失值-religion,0
缺失值-ethnicity,0
age-均值,53.2
age-中位數,59.0
age-標準差,25.95
age-最小值,0.0
age-最大值,89.0
LOSdays-均值,10.1
LOSdays-中位數,6.42
LOSdays-標準差,12.42
LOSdays-最小值,0.0
LOSdays-最大值,294.63
TotalNumInteract-均值,634.66
TotalNumInteract-中位數,498.39
TotalNumInteract-標準差,748.11
TotalNumInteract-最小值,0.0
TotalNumInteract-最大值,68600.0
gender-Top1,M
gender-Top1_計數,26499
gender-Top2,F
gender-Top2_計數,20661
admit_type-Top1,EMERGENCY
admit_type-Top1_計數,33798
admit_type-Top2,NEWBORN
admit_type-Top2_計數,6186
admit_type-Top3,ELECTIVE
admit_type-Top3_計數,6131
admit_type-Top4,URGENT
admit_type-Top4_計數,1045
AdmitDiagnosis-Top1,NEWBORN
AdmitDiagnosis-Top1_計數,6150
AdmitDiagnosis-Top2,PNEUMONIA
AdmitDiagnosis-Top2_計數,1278
AdmitDiagnosis-Top3,SEPSIS
AdmitDiagnosis-Top3_計數,938
AdmitDiagnosis-Top4,CONGESTIVE HEART FAILURE
AdmitDiagnosis-Top4_計數,744
AdmitDiagnosis-Top5,CORONARY ARTERY DISEASE
AdmitDiagnosis-Top5_計數,700
marital_status-Top1,MARRIED
marital_status-Top1_計數,19384
marital_status-Top2,SINGLE
marital_status-Top2_計數,10606
marital_status-Top3,NEWBORN
marital_status-Top3_計數,6107
marital_status-Top4,WIDOWED
marital_status-Top4_計數,5850
marital_status-Top5,DIVORCED
marital_status-Top5_計數,2594
OBS-Emergency+LOSdays>=7,16494
OBS-Emergency+LOSdays>=7 (%),11.265
OBS-Non-Emergency+LOSdays>=7,5287
OBS-Non-Emergency+LOSdays>=7 (%),3.423
OBS-Age>=65,18903
OBS-Age>=65 (%),14.082
OBS-Age<65,28257
OBS-Age<65 (%),7.149
OBS-Male,26499
OBS-Male (%),9.559
OBS-Female,20661
OBS-Female (%),10.401
OBS-LOSdays>=10,14421
OBS-LOSdays>=10 (%),10.519
OBS-LOSdays<10,32739
OBS-LOSdays<10 (%),9.667
OBS-TotalNumInteract>=q75,11790
OBS-TotalNumInteract>=q75 (%),28.193
OBS-TotalNumInteract<q25,11790
OBS-TotalNumInteract<q25 (%),3.376
