seed,strategy,model,n_samples,macro_f1,test_minority_ratio,dataset
0,Stratified,DecisionTree,100,0.4444444444444444,0.1,mimic3c
0,Stratified,KNN,100,0.4736842105263158,0.1,mimic3c
0,Stratified,LogisticReg,100,0.8198198198198199,0.1,mimic3c
0,Stratified,SVM,100,0.4736842105263158,0.1,mimic3c
0,Stratified,MLP,100,0.411764705882353,0.1,mimic3c
0,Stratified,RandomForest,100,0.8198198198198199,0.1,mimic3c
0,Stratified,NaiveBayes,100,0.19999999999999998,0.1,mimic3c
0,Random,DecisionTree,100,0.7222222222222222,0.15,mimic3c
0,Random,KNN,100,0.45945945945945943,0.15,mimic3c
0,Random,LogisticReg,100,0.45945945945945943,0.15,mimic3c
0,Random,SVM,100,0.45945945945945943,0.15,mimic3c
0,Random,MLP,100,0.45945945945945943,0.15,mimic3c
0,Random,RandomForest,100,0.7222222222222222,0.15,mimic3c
0,Random,NaiveBayes,100,0.24812030075187969,0.15,mimic3c
1,Stratified,DecisionTree,100,0.4594594594594595,0.1,mimic3c
1,Stratified,KNN,100,0.4736842105263158,0.1,mimic3c
1,Stratified,LogisticReg,100,0.4444444444444444,0.1,mimic3c
1,Stratified,SVM,100,0.4736842105263158,0.1,mimic3c
1,Stratified,MLP,100,0.4444444444444444,0.1,mimic3c
1,Stratified,RandomForest,100,0.4736842105263158,0.1,mimic3c
1,Stratified,NaiveBayes,100,0.3350383631713555,0.1,mimic3c
1,Random,DecisionTree,100,0.42857142857142855,0.15,mimic3c
1,Random,KNN,100,0.45945945945945943,0.15,mimic3c
1,Random,LogisticReg,100,0.45945945945945943,0.15,mimic3c
1,Random,SVM,100,0.45945945945945943,0.15,mimic3c
1,Random,MLP,100,0.45945945945945943,0.15,mimic3c
1,Random,RandomForest,100,0.45945945945945943,0.15,mimic3c
1,Random,NaiveBayes,100,0.4047619047619047,0.15,mimic3c
2,Stratified,DecisionTree,100,0.4594594594594595,0.1,mimic3c
2,Stratified,KNN,100,0.4736842105263158,0.1,mimic3c
2,Stratified,LogisticReg,100,0.7222222222222222,0.1,mimic3c
2,Stratified,SVM,100,0.4736842105263158,0.1,mimic3c
2,Stratified,MLP,100,0.4736842105263158,0.1,mimic3c
2,Stratified,RandomForest,100,0.4736842105263158,0.1,mimic3c
2,Stratified,NaiveBayes,100,0.29292929292929293,0.1,mimic3c
2,Random,DecisionTree,100,0.39393939393939387,0.25,mimic3c
2,Random,KNN,100,0.42857142857142855,0.25,mimic3c
2,Random,LogisticReg,100,0.42857142857142855,0.25,mimic3c
2,Random,SVM,100,0.42857142857142855,0.25,mimic3c
2,Random,MLP,100,0.42857142857142855,0.25,mimic3c
2,Random,RandomForest,100,0.42857142857142855,0.25,mimic3c
2,Random,NaiveBayes,100,0.5,0.25,mimic3c
3,Stratified,DecisionTree,100,0.8198198198198199,0.1,mimic3c
3,Stratified,KNN,100,0.4736842105263158,0.1,mimic3c
3,Stratified,LogisticReg,100,0.7222222222222222,0.1,mimic3c
3,Stratified,SVM,100,0.4736842105263158,0.1,mimic3c
3,Stratified,MLP,100,0.4594594594594595,0.1,mimic3c
3,Stratified,RandomForest,100,0.4594594594594595,0.1,mimic3c
3,Stratified,NaiveBayes,100,0.14786967418546365,0.1,mimic3c
3,Random,DecisionTree,100,0.7222222222222222,0.05,mimic3c
3,Random,KNN,100,0.48717948717948717,0.05,mimic3c
