n,model,t_value,p_value,mean_diff,better
100,DecisionTree,-0.4214876012734199,0.6781291443793528,-0.023227312430348483,n.s.
100,KNN,-2.01460237279247,0.05832169387129554,-0.09907104907104905,n.s.
100,LogisticReg,-0.7505411982590003,0.4621232583699818,-0.04002136675511285,n.s.
100,SVM,-2.01460237279247,0.05832169387129554,-0.09907104907104905,n.s.
100,MLP,-1.7311391450397837,0.09963419498468137,-0.0852509803072509,n.s.
100,RandomForest,-0.6612244428742564,0.5164072130342992,-0.04050333223707832,n.s.
100,NaiveBayes,-0.525863377377076,0.6050672743577394,-0.01622443875102699,n.s.
500,DecisionTree,1.3005342444526569,0.20897212872193185,0.027809002217522194,n.s.
500,KNN,0.7186933458208928,0.48107575775711764,0.015394948942648756,n.s.
500,LogisticReg,0.27905339807466956,0.7832186194345514,0.00880187476850367,n.s.
500,SVM,1.4538557150930713,0.16230594559025985,0.006133189946482246,n.s.
500,MLP,0.20913361987857598,0.83656982865848,0.00033944506097802196,n.s.
500,RandomForest,-8.030026955957005e-05,0.999936766780753,-2.3742282288574667e-06,n.s.
500,NaiveBayes,-0.531160759788162,0.6014622598282156,-0.006293103170109807,n.s.
6000,DecisionTree,0.41114304033210397,0.6855679273675428,0.003085761256277697,n.s.
6000,KNN,0.3460841460831368,0.7330823157853017,0.0020758520245695742,n.s.
6000,LogisticReg,-1.6513672467984797,0.11509540405087779,-0.013984450926755664,n.s.
6000,SVM,-0.4058082188832098,0.6894171743915445,-0.0030700244285492505,n.s.
6000,MLP,-1.385192941573035,0.18204250987733572,-0.01388558518741484,n.s.
6000,RandomForest,-1.1454141017305475,0.2662608038033821,-0.00892334001794221,n.s.
6000,NaiveBayes,-0.338004638509318,0.7390657703937856,-0.014318399409501203,n.s.
