n,model,t_value,p_value,mean_diff,better
100,DecisionTree,0.6141261821895072,0.5464158075543821,0.02662804115662278,n.s.
100,KNN,-2.013134306305866,0.058488700403950905,-0.09903153587364111,n.s.
100,LogisticReg,0.19259725197975983,0.849318088251759,0.01397930795763617,n.s.
100,SVM,-2.01460237279247,0.05832169387129554,-0.09907104907104905,n.s.
100,MLP,-1.142220963801916,0.2675527439206904,-0.049903824386372066,n.s.
100,RandomForest,-0.858275158641142,0.40143851579125744,-0.04781348217880723,n.s.
100,NaiveBayes,-0.8605093955695025,0.40023697109986656,-0.021474780684485762,n.s.
500,DecisionTree,-1.7665892394133567,0.09335853955642005,-0.031963825487186376,n.s.
500,KNN,1.5773112490517482,0.1312283743056551,0.04192927878896876,n.s.
500,LogisticReg,2.008278634977913,0.05904413848855129,0.050625931228164944,n.s.
500,SVM,0.6018928651475662,0.5543606161705228,0.0009054741924507031,n.s.
500,MLP,0.02319858298008689,0.9817337774226563,4.083063192881209e-05,n.s.
500,RandomForest,1.7583018706876434,0.0947941597158552,0.041214183366404436,n.s.
500,NaiveBayes,-0.8861475838389694,0.3866166780607522,-0.010880317690553875,n.s.
6000,DecisionTree,-0.22451377625418617,0.8247543280129485,-0.0012786048178986542,n.s.
6000,KNN,-0.6759725970830345,0.5072033855185776,-0.0036979067306398385,n.s.
6000,LogisticReg,-1.791174060962418,0.08921006155472327,-0.012514973015134944,n.s.
6000,SVM,-0.7171276651236762,0.4820191534903695,-0.00469888652765722,n.s.
6000,MLP,-0.08366835684370456,0.9341953661994647,-0.0006880543667469929,n.s.
6000,RandomForest,-1.6001070481595157,0.12607129578547122,-0.010594170698595872,n.s.
6000,NaiveBayes,-0.2736904563950837,0.7872756370940787,-0.011411260044666149,n.s.
